"Notes"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"30-34 years"	"30-34"	"Female"	"F"	0	249	Unreliable
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"30-34 years"	"30-34"	"Male"	"M"	Suppressed	278	Suppressed
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"35-39 years"	"35-39"	"Female"	"F"	Suppressed	226	Suppressed
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"35-39 years"	"35-39"	"Male"	"M"	0	257	Unreliable
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"40-44 years"	"40-44"	"Female"	"F"	0	188	Unreliable
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"40-44 years"	"40-44"	"Male"	"M"	Suppressed	287	Suppressed
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"45-49 years"	"45-49"	"Female"	"F"	0	233	Unreliable
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"45-49 years"	"45-49"	"Male"	"M"	0	272	Unreliable
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"50-54 years"	"50-54"	"Female"	"F"	Suppressed	172	Suppressed
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"50-54 years"	"50-54"	"Male"	"M"	0	212	Unreliable
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"55-59 years"	"55-59"	"Female"	"F"	Suppressed	121	Suppressed
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"55-59 years"	"55-59"	"Male"	"M"	0	141	Unreliable
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"60-64 years "	"60-64"	"Female"	"F"	0	111	Unreliable
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"60-64 years "	"60-64"	"Male"	"M"	Suppressed	96	Suppressed
	"Allegheny County, PA"	"42003"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"30-34 years"	"30-34"	"Female"	"F"	0	1251	Unreliable
	"Allegheny County, PA"	"42003"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"30-34 years"	"30-34"	"Male"	"M"	Suppressed	1659	Suppressed
	"Allegheny County, PA"	"42003"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"35-39 years"	"35-39"	"Female"	"F"	0	1133	Unreliable
	"Allegheny County, PA"	"42003"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"35-39 years"	"35-39"	"Male"	"M"	Suppressed	1378	Suppressed
	"Allegheny County, PA"	"42003"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"40-44 years"	"40-44"	"Female"	"F"	Suppressed	894	Suppressed
	"Allegheny County, PA"	"42003"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"40-44 years"	"40-44"	"Male"	"M"	Suppressed	918	Suppressed
	"Allegheny County, PA"	"42003"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"45-49 years"	"45-49"	"Female"	"F"	Suppressed	765	Suppressed
	"Allegheny County, PA"	"42003"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"45-49 years"	"45-49"	"Male"	"M"	Suppressed	747	Suppressed
	"Allegheny County, PA"	"42003"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"50-54 years"	"50-54"	"Female"	"F"	Suppressed	648	Suppressed
	"Allegheny County, PA"	"42003"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"50-54 years"	"50-54"	"Male"	"M"	0	567	Unreliable
	"Allegheny County, PA"	"42003"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"55-59 years"	"55-59"	"Female"	"F"	0	531	Unreliable
	"Allegheny County, PA"	"42003"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"55-59 years"	"55-59"	"Male"	"M"	Suppressed	493	Suppressed
	"Allegheny County, PA"	"42003"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"60-64 years "	"60-64"	"Female"	"F"	Suppressed	452	Suppressed
	"Allegheny County, PA"	"42003"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"60-64 years "	"60-64"	"Male"	"M"	Suppressed	382	Suppressed
	"Armstrong County, PA"	"42005"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"30-34 years"	"30-34"	"Female"	"F"	0	15	Unreliable
	"Armstrong County, PA"	"42005"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"30-34 years"	"30-34"	"Male"	"M"	0	26	Unreliable
	"Armstrong County, PA"	"42005"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"35-39 years"	"35-39"	"Female"	"F"	0	20	Unreliable
	"Armstrong County, PA"	"42005"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"35-39 years"	"35-39"	"Male"	"M"	0	22	Unreliable
	"Armstrong County, PA"	"42005"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"40-44 years"	"40-44"	"Female"	"F"	0	16	Unreliable
	"Armstrong County, PA"	"42005"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"40-44 years"	"40-44"	"Male"	"M"	0	19	Unreliable
	"Armstrong County, PA"	"42005"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"45-49 years"	"45-49"	"Female"	"F"	0	18	Unreliable
	"Armstrong County, PA"	"42005"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"45-49 years"	"45-49"	"Male"	"M"	0	11	Unreliable
	"Armstrong County, PA"	"42005"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"50-54 years"	"50-54"	"Female"	"F"	0	12	Unreliable
	"Armstrong County, PA"	"42005"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"50-54 years"	"50-54"	"Male"	"M"	0	17	Unreliable
	"Armstrong County, PA"	"42005"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"55-59 years"	"55-59"	"Female"	"F"	0	13	Unreliable
	"Armstrong County, PA"	"42005"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"55-59 years"	"55-59"	"Male"	"M"	0	6	Unreliable
	"Armstrong County, PA"	"42005"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"60-64 years "	"60-64"	"Female"	"F"	0	9	Unreliable
	"Armstrong County, PA"	"42005"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"60-64 years "	"60-64"	"Male"	"M"	0	7	Unreliable
	"Beaver County, PA"	"42007"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"30-34 years"	"30-34"	"Female"	"F"	0	175	Unreliable
	"Beaver County, PA"	"42007"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"30-34 years"	"30-34"	"Male"	"M"	Suppressed	114	Suppressed
	"Beaver County, PA"	"42007"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"35-39 years"	"35-39"	"Female"	"F"	Suppressed	122	Suppressed
	"Beaver County, PA"	"42007"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"35-39 years"	"35-39"	"Male"	"M"	Suppressed	124	Suppressed
	"Beaver County, PA"	"42007"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"40-44 years"	"40-44"	"Female"	"F"	0	78	Unreliable
	"Beaver County, PA"	"42007"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"40-44 years"	"40-44"	"Male"	"M"	0	98	Unreliable
	"Beaver County, PA"	"42007"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"45-49 years"	"45-49"	"Female"	"F"	0	73	Unreliable
	"Beaver County, PA"	"42007"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"45-49 years"	"45-49"	"Male"	"M"	0	71	Unreliable
	"Beaver County, PA"	"42007"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"50-54 years"	"50-54"	"Female"	"F"	0	74	Unreliable
	"Beaver County, PA"	"42007"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"50-54 years"	"50-54"	"Male"	"M"	0	63	Unreliable
	"Beaver County, PA"	"42007"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"55-59 years"	"55-59"	"Female"	"F"	0	55	Unreliable
	"Beaver County, PA"	"42007"	"Hispanic or Latino"	"2135-2"	"2019"	"2019"	"55-59 years"	"55-59"	"Male"	"M"	Suppressed	60	Suppressed
