"Notes"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"30-34 years"	"30-34"	"Female"	"F"	0	220	Unreliable
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"30-34 years"	"30-34"	"Male"	"M"	0	285	Unreliable
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"35-39 years"	"35-39"	"Female"	"F"	0	205	Unreliable
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"35-39 years"	"35-39"	"Male"	"M"	Suppressed	262	Suppressed
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"40-44 years"	"40-44"	"Female"	"F"	0	196	Unreliable
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"40-44 years"	"40-44"	"Male"	"M"	0	289	Unreliable
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"45-49 years"	"45-49"	"Female"	"F"	Suppressed	233	Suppressed
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"45-49 years"	"45-49"	"Male"	"M"	0	249	Unreliable
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"50-54 years"	"50-54"	"Female"	"F"	0	155	Unreliable
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"50-54 years"	"50-54"	"Male"	"M"	Suppressed	199	Suppressed
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"55-59 years"	"55-59"	"Female"	"F"	0	110	Unreliable
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"55-59 years"	"55-59"	"Male"	"M"	Suppressed	140	Suppressed
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"60-64 years "	"60-64"	"Female"	"F"	0	98	Unreliable
	"Adams County, PA"	"42001"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"60-64 years "	"60-64"	"Male"	"M"	0	84	Unreliable
	"Allegheny County, PA"	"42003"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"30-34 years"	"30-34"	"Female"	"F"	0	1232	Unreliable
	"Allegheny County, PA"	"42003"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"30-34 years"	"30-34"	"Male"	"M"	0	1688	Unreliable
	"Allegheny County, PA"	"42003"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"35-39 years"	"35-39"	"Female"	"F"	0	1091	Unreliable
	"Allegheny County, PA"	"42003"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"35-39 years"	"35-39"	"Male"	"M"	0	1321	Unreliable
	"Allegheny County, PA"	"42003"	"Hispanic or Latino"	"2135-2"	"2018"	"2018"	"40-44 years"	"40-44"	"Female"	"F"	0	834	Unreliable
